State_Name,Total_Schools,Facility,Status,Count,Percentage_of_Total_Schools
Odisha,61565,Electricity,Functional,59665,96.91383091041989
Puducherry,763,Electricity,Functional,763,100.0
Punjab,27281,Electricity,Functional,27261,99.92668890436568
Rajasthan,106302,Electricity,Functional,97075,91.3200127937386
Sikkim,1245,Electricity,Functional,1208,97.0281124497992
Tamil Nadu,57935,Electricity,Functional,57699,99.59264693190644
Telangana,43154,Electricity,Functional,41059,95.14529359966632
Tripura,4943,Electricity,Functional,3952,79.95144648998583
Uttar Pradesh,262358,Electricity,Functional,225711,86.03168190030416
Uttarakhand,22452,Electricity,Functional,21173,94.303402814894
West Bengal,93715,Electricity,Functional,90998,97.10078429280264
Lakshadweep,36,Computer,Functional,35,97.22222222222221
Chandigarh,207,Computer,Functional,206,99.51690821256038
Andaman and Nicobar Islands,408,Computer,Functional,332,81.37254901960785
Dadra and Nagar Haveli and Daman and Diu,433,Computer,Functional,414,95.61200923787528
Ladakh,961,Computer,Functional,537,55.87929240374609
Puducherry,763,Computer,Functional,751,98.42726081258192
Goa,1479,Computer,Functional,824,55.71331981068289
Sikkim,1245,Computer,Functional,1118,89.79919678714859
Arunachal Pradesh,3229,Computer,Functional,1357,42.0253948590895
Manipur,4666,Computer,Functional,1642,35.19074153450493
Nagaland,2750,Computer,Functional,2162,78.61818181818182
Meghalaya,14587,Computer,Functional,2552,17.495029821073558
Mizoram,3974,Computer,Functional,2573,64.74584801207851
Tripura,4943,Computer,Functional,3015,60.99534695529031
Delhi,5556,Computer,Functional,5553,99.94600431965442
Jammu and Kashmir,24192,Computer,Functional,8841,36.54513888888889
Himachal Pradesh,17330,Computer,Functional,12505,72.15810732833238
Kerala,15757,Computer,Functional,15618,99.11785238306784
Uttarakhand,22452,Computer,Functional,18857,83.98806342419384
Haryana,23494,Computer,Functional,22457,95.58610709117221
West Bengal,93715,Computer,Functional,22721,24.24478471962866
Bihar,94339,Computer,Functional,22410,23.754756781394757
Punjab,27281,Computer,Functional,26546,97.30581723543858
Jharkhand,44376,Computer,Functional,19369,43.64746709933297
Chhattisgarh,56802,Computer,Functional,21685,38.1764726594134
Telangana,43154,Computer,Functional,35048,81.21610974648932
Karnataka,74859,Computer,Functional,37939,50.68061288555818
Assam,55283,Computer,Functional,36848,66.65340158819166
Odisha,61565,Computer,Functional,43793,71.13294891578008
Andhra Pradesh,61317,Computer,Functional,46909,76.50243814928976
Gujarat,53355,Computer,Functional,51252,96.05847624402587
Tamil Nadu,57935,Computer,Functional,53080,91.61991887460084
Rajasthan,106302,Computer,Functional,49967,47.00476002332976
Madhya Pradesh,122120,Computer,Functional,66314,54.30232558139535
Maharashtra,108250,Computer,Functional,82992,76.66697459584296
Uttar Pradesh,262358,Computer,Functional,134462,51.2513435839578
India,1471473,Computer,Functional,852684,57.947648376830564
