Management_Detailed,Management_Group,School_Category,Gender_Type,Geography,Total_Schools,Electricity,Drinking Water,Toilets (All),Toilets (Boys),Toilets (Girls),Handwash,Medical Checkup,Ramps,Internet,Computers
Private Unaided (Recognized),Govt Aided,Middle,Boys,Rural,121,106,120,119,119,0,109,61,50,80,71
Private Unaided (Recognized),Govt Aided,Middle,Girls,Rural,423,352,420,398,0,398,389,207,201,219,170
Private Unaided (Recognized),Govt Aided,Middle,Co.Educational,Rural,77066,68979,76477,73025,72698,72224,73298,41235,43254,54063,48164
Other State Govt. Managed,Government,Middle,Boys,Rural,7,7,7,7,7,0,6,4,1,3,4
Other State Govt. Managed,Government,Middle,Girls,Rural,56,56,56,56,0,56,55,55,51,55,55
Other State Govt. Managed,Government,Middle,Co.Educational,Rural,44,42,44,44,43,40,41,42,35,26,29
Partially Govt. Aided,Government,Middle,Co.Educational,Rural,21,21,21,20,20,20,21,21,21,19,19
Unrecognized,Other,Middle,Boys,Rural,20,20,20,19,19,0,19,7,4,11,8
Unrecognized,Other,Middle,Girls,Rural,23,19,23,21,0,21,20,8,3,12,10
Unrecognized,Other,Middle,Co.Educational,Rural,6314,5816,6245,6166,6135,6126,5921,2362,2516,4545,3904
Minority Affairs Department,Other,Middle,Co.Educational,Rural,14,11,14,14,14,14,14,7,6,3,2
Social Welfare Department,Government,Middle,Boys,Rural,5,4,4,5,5,0,3,4,4,2,3
Social Welfare Department,Government,Middle,Girls,Rural,10,10,10,10,0,10,10,4,2,7,6
Social Welfare Department,Government,Middle,Co.Educational,Rural,111,110,111,111,108,110,111,104,69,99,108
Ministry of Labour,Other,Middle,Boys,Rural,3,3,3,3,3,0,3,1,3,1,2
Ministry of Labour,Other,Middle,Girls,Rural,1,1,1,1,0,1,1,1,0,0,1
Kendriya Vidyalaya,Government,Middle,Co.Educational,Rural,6,6,6,6,6,6,6,4,2,6,6
Central Tibetan School,Other,Middle,Co.Educational,Rural,2,2,2,2,2,2,2,2,1,0,2
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Boys,Rural,21,18,21,20,20,0,16,7,9,10,7
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Girls,Rural,79,67,79,78,0,78,72,26,33,42,18
Madrasa Private Unaided (Recognized),Govt Aided,Middle,Co.Educational,Rural,4259,3282,4242,3992,3933,3909,3889,1313,1967,2121,1012
Madarsa Unrecognized,Other,Middle,Boys,Rural,27,26,27,24,24,0,25,11,12,11,11
Madarsa Unrecognized,Other,Middle,Girls,Rural,12,12,12,12,0,12,12,4,4,6,3
Madarsa Unrecognized,Other,Middle,Co.Educational,Rural,257,223,255,251,246,241,237,75,95,126,54
Madrasa Aided (Recognized),Govt Aided,Middle,Co.Educational,Rural,75,66,75,72,72,70,69,27,51,34,29
Other Central Govt./PSU Schools,Government,Middle,Co.Educational,Rural,11,8,10,9,9,9,10,7,6,7,7
Department of Education,Government,Secondary,Boys,Rural,668,668,668,667,667,0,658,624,555,613,641
Department of Education,Government,Secondary,Girls,Rural,4972,4938,4958,4906,0,4902,4917,4339,4230,4271,4586
Department of Education,Government,Secondary,Co.Educational,Rural,80914,79266,80431,79010,77024,77356,78538,65634,72792,64266,71826
Tribal Welfare Department,Government,Secondary,Boys,Rural,484,479,483,478,478,0,475,438,348,405,461
Tribal Welfare Department,Government,Secondary,Girls,Rural,787,783,786,785,0,785,779,745,633,656,746
Tribal Welfare Department,Government,Secondary,Co.Educational,Rural,3683,3596,3655,3598,3467,3454,3562,3278,3164,2416,3371
Local Body,Government,Secondary,Girls,Rural,174,172,174,173,0,173,170,169,159,130,169
Local Body,Government,Secondary,Co.Educational,Rural,8772,8714,8759,8651,8007,8590,8708,8590,8357,6799,8556
Government Aided,Govt Aided,Secondary,Boys,Rural,146,138,145,141,141,0,143,116,101,119,128
Government Aided,Govt Aided,Secondary,Girls,Rural,789,753,787,772,0,772,760,695,573,651,647
Government Aided,Govt Aided,Secondary,Co.Educational,Rural,28184,26754,28046,27649,27366,27492,26895,24404,21746,22278,23890
Private Unaided (Recognized),Govt Aided,Secondary,Boys,Rural,201,195,200,197,197,0,197,140,130,173,171
Private Unaided (Recognized),Govt Aided,Secondary,Girls,Rural,851,785,844,826,0,826,804,496,483,645,566
Private Unaided (Recognized),Govt Aided,Secondary,Co.Educational,Rural,70225,65336,69912,67648,67261,67137,67760,43114,44131,59107,57541
Other State Govt. Managed,Government,Secondary,Boys,Rural,48,48,48,47,47,0,48,44,37,46,46
Other State Govt. Managed,Government,Secondary,Girls,Rural,62,61,61,60,0,60,59,56,37,56,58
Other State Govt. Managed,Government,Secondary,Co.Educational,Rural,216,200,207,208,200,203,181,137,117,137,156
Partially Govt. Aided,Government,Secondary,Co.Educational,Rural,98,96,98,96,96,95,98,96,78,87,83
Unrecognized,Other,Secondary,Boys,Rural,13,12,13,13,13,0,13,4,2,5,5
Unrecognized,Other,Secondary,Girls,Rural,24,14,24,21,0,21,21,10,6,12,7
Unrecognized,Other,Secondary,Co.Educational,Rural,1265,943,1205,1107,1061,1095,1024,621,416,674,658
Minority Affairs Department,Other,Secondary,Co.Educational,Rural,11,11,11,11,11,11,10,3,6,2,8
Social Welfare Department,Government,Secondary,Boys,Rural,239,237,238,234,234,0,234,209,174,224,225
Social Welfare Department,Government,Secondary,Girls,Rural,341,340,341,339,0,339,338,317,270,305,329
Social Welfare Department,Government,Secondary,Co.Educational,Rural,432,430,432,431,421,410,415,401,287,381,402
